图片名称,内容
1749368558.jpg,4)从大学生人学迎新的第一天到第一学年的最后一天，这个项 目都为学生提供支持。
1749368558.jpg,"1) To reinforce national defense education, freshmen generally have a one-month military training after entering university."
1749368559.jpg,"2) There's no denying that quality education is receiving increasing attention, but exam-oriented education remains a prominent issue."
1749368559.jpg,"3) Traditionally in China, college students' educational expenses are covered by their parents; but now, it is getting increasingly common for students to pay their tuition by means of education loans or part- time jobs"
1749368559.jpg,"4) In the US, students can choose their majors in their first or second year at college. In China, however, it's common practice for students to decide on their majors upon entering college. iAssess 1-7 Unit test Vocabulary and structure"
1749368559.jpg,1)B
1749368559.jpg,2) C
1749368559.jpg,3)B
1749368559.jpg,4) B
1749368559.jpg,5) A l. adjust to
1749368559.jpg,2. turned out
1749368559.jpg,3. associated with
1749368559.jpg,4. has cured
1749368559.jpg,5. perspective Banked cloze
1749368559.jpg,1)C
1749368559.jpg,2)F
1749368559.jpg,3)H
1749368559.jpg,4) A
1749368559.jpg,5)B
1749368559.jpg,6) G
1749368559.jpg,7)E Reading comprehension
1749368559.jpg,1)B
1749368559.jpg,2) D
1749368560.jpg,3)A
1749368560.jpg,4) C
1749368560.jpg,5) D Translation
1749368560.jpg,1) Students choose majors in college that will decide their future career path.
1749368560.jpg,2) Many universities in China are committed to cultivating international talents who can take part in international competition
1749368560.jpg,3) You can always consider joining social clubs on campus where you're likely to find others who share your interests
1749368560.jpg,1)这是一所理工院校，该校的学生将被培养成工程师或科学工 作者。
1749368560.jpg,2)清华大学是中国著名的高等学府，是中国培养高级科学技术 人才和发展科学技术的重要基地之一。
1749368679.jpg,Unit 2 The magic of words iExplore 1 2-2 iExplore 1: Reading Viewing
1749368679.jpg,1) the language
1749368679.jpg,2) speak the language
1749368679.jpg,3) effective
1749368679.jpg,4) context
1749368679.jpg,5) an association
1749368679.jpg,6) write the language
1749368679.jpg,7) vocabulary
1749368679.jpg,8) repeat
1749368679.jpg,"1) I find some of the ways mentioned in the video clip effective in learning English. For example, the skills of mnemonics and shadowing help me a lot to learn vocabulary."
1749368679.jpg,2) Other effective ways of learning English may include: practicing as much as one can; visiting the English corner on campus; speaking with foreign friends whose first language is English; building up vocabulary and working on grammar; reading English articles or listening to VOA or BBC on a daily basis. 2-3 iExplore 1: Building your language Words and expressions l. explore
1749368679.jpg,2. overlooked
1749368679.jpg,3. slim
1749368679.jpg,4. indispensable
1749368679.jpg,5. Fearful
1749368679.jpg,6. contradicts
1749368679.jpg,7. overseeing
1749368679.jpg,8. proclaimed
1749368679.jpg,1) slow down
1749368679.jpg,2) fill out
1749368679.jpg,3)take place
1749368679.jpg,4) take
1749368680.jpg,5) for granted
1749368680.jpg,6) add up Collocations
1749368680.jpg,1) explore
1749368680.jpg,2) ways
1749368680.jpg,3) acquire
1749368680.jpg,4) language
1749368680.jpg,5)acquires a habit
1749368680.jpg,6) acquired
1749368680.jpg,7) position
1749368680.jpg,8) higher chance
1749368680.jpg,9) exploring the possibility
1749368680.jpg,"10) slim chance,fat chance Vocabulary learning strategies"
1749368680.jpg,1. wind up
1749368680.jpg,2. going up
1749368680.jpg,3. give up
1749368680.jpg,4. slowed up
1749368680.jpg,"5. burned up,burnt up"
1749368680.jpg,6. came up Language focus
1749368680.jpg,1) There is no doubt that he is an outstanding linguist.
1749368680.jpg,2) Many foreigners have the impression that Chinese is dificult to learn.
1749368680.jpg,3) It's a common belief that grasping a foreign language can help expand one's horizons.
1749368680.jpg,4) There is a report that a new language school will be built nearby. / A report was released that a new language school will be built nearby
1749368680.jpg,5) They came to the conclusion that modern technology makes language learning much easier.
1749368680.jpg,6) He has no idea why she chose a minority language as her major Banked cloze
1749368680.jpg,1) crazy
1749368681.jpg,2) acquired
1749368681.jpg,3)invisible
1749368681.jpg,4) explore
1749368681.jpg,5) daydreaming
1749368681.jpg,6) contradict
1749368681.jpg,7) creative iExplore 2 2-4 iExplore 2: Reading Viewing
1749368681.jpg,"1) When the speaker was eight years old, her mom got the opportunity to teach in a rural high school in China. That's how she got the chance to learn Chinese."
1749368681.jpg,2) Her family stayed in China for more than three years.
1749368681.jpg,3) The speaker thinks that the most important thing in learning a second language is the frequency of practice
1749368681.jpg,"4) It has been hugely beneficial for the speaker to be able to speak Chinese through high school and university, and now into working life. It has been a real help in job interviews, as Mandarin speakers are pretty sought after in the New Zealand's job market."
1749368681.jpg,5) The speaker doesn't think learning Chinese is much different from learning any other language. It will get better with practice
1749368681.jpg,1) I'm impressed by the speaker's effective learning methods such as getting every chance to expose herself to the Chinese language and her perseverance in keeping practicing
1749368681.jpg,"2) I think the most important thing in learning a new language is to keep practicing as much as possible. I think the most important thing is to get every chance to expose yourself to the new language. For example, to learn English,it would be helpful to stay in the US or the UK for some time, to use the language in real life. 2-5 iExplore 2: Building your language Words and expressions"
1749368681.jpg,1. dedicated
1749368681.jpg,2.exhausting
1749368682.jpg,3.devoted
1749368682.jpg,4. frustration
1749368682.jpg,5. depressing
1749368682.jpg,6. clarify
1749368682.jpg,7. exception
1749368682.jpg,1. By and large
1749368682.jpg,2. fool around
1749368682.jpg,3.set aside
1749368682.jpg,4. be a recipe for
1749368682.jpg,5. For all
1749368682.jpg,6. give up Collocations
1749368682.jpg,1) D
1749368682.jpg,2) D
1749368682.jpg,3)C
1749368682.jpg,4) C
1749368682.jpg,5)D Vocabulary learning strategies
1749368682.jpg,1. hopeless
1749368682.jpg,2. useless
1749368682.jpg,3. careless
1749368682.jpg,4. priceless
1749368682.jpg,5. harmless
1749368682.jpg,6. tireless Translation
1749368682.jpg,"1)学习你的这段日子并不是我最快乐的时光；实际上,虽然我 付出了最大的努力，但总的来说,我的努力是令人沮丧、徒劳 无功的。"
1749368682.jpg,2)我承认，也许我并没有尽我最大的努力让事情顺利进行，但 是请你放心，在我们分开的时候，我也并没有浪费时间和其他 语言混在起。
1749368682.jpg,3)越来越多的人意识到多学一门语言的重要性。那些只说一门 语言的人将会随着全球化的发展，逐渐落于人后。
1749368683.jpg,"4)语育学教授戴维·哈里森称，科技不仅能扩大主流语言的影 响力,而且有助于拯救濒危语言。"
1749368683.jpg,"1) As China's global influence further deepens, there arises a worldwide craze to learn Chinese."
1749368683.jpg,2) Many people are still weak in listening and speaking English even after learning the language for years. This is a big headache for Chinese in learning English.
1749368683.jpg,"3) For this post, job-seekers who speak fluent English have a great advantage over others."
1749368683.jpg,"4) HSK (Chinese Proficiency Test) assesses non-native Chinese speakers' abilities in using the Chinese language to communicate in their daily, academic and professional lives. iAssess 2-7 Unit test Vocabulary and structure"
1749368683.jpg,1) A
1749368683.jpg,2) C
1749368683.jpg,3)D
1749368683.jpg,4) C
1749368683.jpg,5)B
1749368683.jpg,1. visible
1749368683.jpg,2. indispensable
1749368683.jpg,3. assured
1749368683.jpg,4. devoted
1749368683.jpg,5. exhausting Banked cloze
1749368683.jpg,1)C
1749368683.jpg,2) F
1749368683.jpg,3) H
1749368683.jpg,4) B
1749368683.jpg,5)G
1749368683.jpg,6)E
1749368683.jpg,7) A
1749368684.jpg,Reading comprehension
1749368684.jpg,1) B
1749368684.jpg,2) D
1749368684.jpg,3)D
1749368684.jpg,4) C
1749368684.jpg,5)B Translation
1749368684.jpg,"1) Confucius Institutes, unlike other organizations, operate directly on university campuses, contributing to more academic freedom."
1749368684.jpg,"2) It is better, I believe, for children to start learning a foreign language at primary school."
1749368684.jpg,"3) Generally speaking, language learning is closely bound up with culture. 1）她很年轻,但是她有丰富的英语教学经验 2）事实上，中国已经在许多方面赶超了世界先进水平。"
1749368746.jpg,Unit 3 Culture links iExplore 1 3-2 iExplore 1: Reading Viewing
1749368746.jpg,1) your stay
1749368746.jpg,2) children
1749368746.jpg,3)a gift
1749368746.jpg,4) offering help
1749368746.jpg,5) cook
1749368746.jpg,6) tidy
1749368746.jpg,7) money
1749368746.jpg,8) thank-you note
1749368746.jpg,"1) By telling the Latin origin of the word ""guest,"" the speaker intends to remind readers that a guest lacking cultural awareness (the way of hospitality in this case) and consideration for the host is very likely to become unpleasant and unwelcome."
1749368746.jpg,2) The implication is that we should learn about the cultural differences and pay attention to the etiquette of being a guest when visiting a foreign family. 3-3 iExplore 1: Building your language Words and expressions
1749368746.jpg,1. complimented
1749368746.jpg,2. informing
1749368746.jpg,3.hospitable
1749368746.jpg,4. appreciation
1749368746.jpg,5. entertain
1749368746.jpg,6. obliged
1749368746.jpg,7. delay
1749368746.jpg,1. feel at home
1749368746.jpg,2. wear out your welcome
1749368746.jpg,3. take pride in
1749368746.jpg,4. on time
1749368746.jpg,5. in particular
1749368746.jpg,6. drop by
1749368747.jpg,7. above all Collocations
1749368747.jpg,"1) entertain,treat"
1749368747.jpg,2) guests
1749368747.jpg,3) offer seats
1749368747.jpg,4) wear
1749368747.jpg,5) dress
1749368747.jpg,"6) entertain guests,treat guests"
1749368747.jpg,7) wore
1749368747.jpg,8)smile
1749368747.jpg,9) offers an opportunity Vocabulary learning strategies
1749368747.jpg,1) C
1749368747.jpg,2) A
1749368747.jpg,3)B
1749368747.jpg,4) A
1749368747.jpg,5)C
1749368747.jpg,6)B
1749368747.jpg,7) B
1749368747.jpg,8)A
1749368747.jpg,9)C
1749368747.jpg,10) A
1749368747.jpg,11) C
1749368747.jpg,12)B Language focus
1749368747.jpg,"1) In some countries, girls usually marry young."
1749368747.jpg,"2) He was born rich, but died penniless."
1749368747.jpg,3) They lay in bed chatting about their overseas experiences
1749368747.jpg,"4) He arrived a boy totally unaware of cultural differences, but left an expert at handling cultural clashes. Banked cloze"
1749368747.jpg,1) appreciation
1749368747.jpg,2) casual
1749368747.jpg,3) inform
1749368748.jpg,4) compliment
1749368748.jpg,5) welcome
1749368748.jpg,6) unannounced
1749368748.jpg,7) burden iExplore 2 3-4 iExplore 2: Reading Viewing
1749368748.jpg,1) the street
1749368748.jpg,2) rude
1749368748.jpg,3)the first time
1749368748.jpg,4) traffic rules
1749368748.jpg,5) accidents
1749368748.jpg,6) normal
1749368748.jpg,7) alone
1749368748.jpg,8) all the shops
1749368748.jpg,"1) Yes, I find it interesting to learn about the facts about the countries in the video clip. This is a real eye-opener as I've never heard of them before."
1749368748.jpg,"2) Here are some other interesting customs from around the world In Nicaragua, it is common to point with the lips instead of the thumb or index finger. The lip point is typically used in conversation to indicate something that is happening nearby. Every culture has specific rituals for greeting. Some countries in Europe and Latin America share the common custom of kissing on the cheek as a form of greeting. Yet, the French seem to take this to a new level with the number of nuances involved in their kissing rituals. The rules vary for men and women. What's more, the number of kisses required to complete the greeting changes from region to region."
1749368749.jpg,"Unlike many other countries who don't tip at all or who only tip in small amounts, tipping is rather mandatory at most restaurants in the US. In fact, it is expected that patrons leave about 10-20 percent of the bill for tips. While some criticize this practice as irrational, there's no doubt that tipping encourages waiters and waitresses to provide better service. 3-5 iExplore 2: Building your language Words and expressions"
1749368749.jpg,1) the length and breadth of
1749368749.jpg,2) conclusion
1749368749.jpg,3) referred to
1749368749.jpg,4) weird
1749368749.jpg,5) perceived
1749368749.jpg,6) get tired of
1749368749.jpg,7) reserve Collocations
1749368749.jpg,1) reserve
1749368749.jpg,2) room
1749368749.jpg,3)arouses
1749368749.jpg,"4) desire,curiosity"
1749368749.jpg,5) arouses
1749368749.jpg,6) interest
1749368749.jpg,7) reserve seats
1749368749.jpg,8) arouse anger
1749368749.jpg,9) reserve the right
1749368749.jpg,1) carry out
1749368749.jpg,2) carry
1749368749.jpg,3) through
1749368749.jpg,4) carried on
1749368749.jpg,5) get away
1749368749.jpg,6) getting across
1749368749.jpg,7) get on Vocabulary learning strategies
1749368749.jpg,1) birth
1749368750.jpg,2) depth
1749368750.jpg,3) death
1749368750.jpg,4) youth
1749368750.jpg,5) truth
1749368750.jpg,6) warmth
1749368750.jpg,7) growth
1749368750.jpg,1. birth
1749368750.jpg,2. growth
1749368750.jpg,3. death
1749368750.jpg,4. truth
1749368750.jpg,5. warmth
1749368750.jpg,6. depth
1749368750.jpg,7. youth Translation
1749368750.jpg,1)你不可能掌握全部所需的知识来自如地应对世界各国不同的 文化。
1749368750.jpg,2)有时候你需要做的就是当遇到差异时要宽容，要能意识到自 已文化中的某些行为放在另一种文化中有可能是不恰当的。
1749368750.jpg,"3)一般在中国，饭吃完了,通常就表示客人应该离开了。但是 在西方国家，人们通常还会坐在桌边聊到很晚。"
1749368750.jpg,4)通过适应外国文化，你可以克服文化冲击，与周围的人建立 良好的关系，而不会在新环境中感到焦虑和困惑。
1749368750.jpg,"1) As a kind of folk art, Peking Opera enjoys a long history and is one of the most ancient forms of traditional Chinese art."
1749368750.jpg,2) I have a feeling that people often get to know their own culture better after having more cultural experiences.
1749368750.jpg,3) Tolerance and awareness of differences are all that's needed in interacting with foreigners.
1749368750.jpg,4) Lacking cultural knowledge often gets us into trouble when were in a foreign country. iAssess 3-7 Unit test
1749368751.jpg,Vocabulary and structure
1749368751.jpg,1) A
1749368751.jpg,2) B
1749368751.jpg,3)C
1749368751.jpg,4) C
1749368751.jpg,5)D
1749368751.jpg,1. delayed
1749368751.jpg,2. hospitable
1749368751.jpg,3.referred to
1749368751.jpg,4. reserved
1749368751.jpg,5. got tired of Banked cloze
1749368751.jpg,1) D
1749368751.jpg,2) A
1749368751.jpg,3)E
1749368751.jpg,4) F
1749368751.jpg,5)I
1749368751.jpg,6)C
1749368751.jpg,7)G Reading comprehension
1749368751.jpg,1) A
1749368751.jpg,2) C
1749368751.jpg,3) D
1749368751.jpg,4) B
1749368751.jpg,5)D Translation
1749368751.jpg,1) The application of electronic dictionaries makes a tremendous rise in translation efficiency.
1749368751.jpg,2) The Forbidden City is an example of Chinese architecture during Ming and Qing Dynasty.
1749368751.jpg,3) You will feel much easier after the appreciation of this culture shock.
1749368751.jpg,"1)因为不熟悉语言和文化,他对这个国家完全陌生。"
1749368752.jpg,"2)我们坚持培养自己的美德,经受严峻的磨练，才得以形成这 样的国家。"
1749368918.jpg,Unit 4 Life at fingertips iExplore 1 4-2 iExplore 1: Reading Viewing
1749368918.jpg,"1) I often shop online, almost every day. For example, most of my clothes, snacks and daily necessities are ordered online. I don't often make mobile payments. Rather, I prefer to use cash or my student card as I do most shopping on campus."
1749368918.jpg,"2) I find the online-shopping apps are very essential in my life and I could not live without them. Take the food delivery app Ele.me for example. It provides such a wide range of choices, from a decent meal to just a cup of coffee or mik tea. With the help of it, I don't need to worry about the terrible weather, the annoying traffic jam or the long waiting line outside the restaurants I think most of the apps are improving our lives. However, I think we also need to be aware of the potential problems caused by these mobile services. One of the biggest environmental concerns is the overuse of plastic packages in food delivery. 4-3 iExplore 1: Building your language Words and expressions"
1749368918.jpg,1. estimated
1749368918.jpg,2. payment
1749368918.jpg,3.potential
1749368918.jpg,4. barriers
1749368918.jpg,5. transfer
1749368918.jpg,"6. secured,secures,has secured"
1749368918.jpg,1) at your fingertips
1749368918.jpg,2) brought about
1749368918.jpg,3)Thanks to
1749368918.jpg,4) keep in touch
1749368918.jpg,5)as long as Collocations
1749368918.jpg,"1) easy access,instant access"
1749368918.jpg,2) share opinions
1749368919.jpg,3) explore the possibility
1749368919.jpg,"4) make a proposal,offer a proposal Vocabulary learning strategies"
1749368919.jpg,1) D
1749368919.jpg,2) C
1749368919.jpg,3)E
1749368919.jpg,4)B
1749368919.jpg,5) A
1749368919.jpg,6) F
1749368919.jpg,1. transmitted
1749368919.jpg,2. transforming
1749368919.jpg,3. transferred
1749368919.jpg,4. transport
1749368919.jpg,5. transnational
1749368919.jpg,6. translation Language focus l. gets the senior people interested
1749368919.jpg,2. he heard someone singing
1749368919.jpg,3. not to use the cellphone while driving
1749368919.jpg,4. everyone finds it more and more difficult Banked cloze
1749368919.jpg,1) publishing
1749368919.jpg,2) access
1749368919.jpg,3) estimated
1749368919.jpg,4) revolution
1749368919.jpg,5) spread
1749368919.jpg,6) payment
1749368919.jpg,7) fingertips iExplore 2 4-4 iExplore 2: Reading Viewing
1749368919.jpg,1) A
1749368920.jpg,2)B
1749368920.jpg,3) A
1749368920.jpg,4) B
1749368920.jpg,5)B
1749368920.jpg,6) A
1749368920.jpg,7) A
1749368920.jpg,"1) I really find the way the woman does shopping fascinating. The VR technology combines the advantages of traditional in-store shopping and online shopping. The biggest attraction of in-store shopping is you can see the various products. Thanks to the VR technology we can ""see"" the whole store without stepping foot outside the front door. Plus, the customers' ratings and friends comments on the products are at our fingertips, which definitely helps us to make smart choices while We can enjoy the great fun wandering in the store but don't need to worry about the traffic, waiting line or delivery. To be honest, I'm not interested in the way the woman does shopping. I enjoy the fun of trying on different styles of clothes and see whether they fit me perfectly or not. By the way, I like go shopping with my friends. I believe nothing can compare with the in-store shopping experiences. I'm so good at bargaining! 4-5 iExplore 2: Building your language Words and expressions"
1749368920.jpg,1. peak
1749368920.jpg,2.extensive
1749368920.jpg,3. purchases
1749368920.jpg,4. advertise
1749368920.jpg,5. reject
1749368920.jpg,6. efficiency
1749368920.jpg,7. recruiting
1749368920.jpg,8. digital
1749368920.jpg,1. as well
1749368920.jpg,2. comes true
1749368920.jpg,3.A wealth of
1749368920.jpg,4. check out
1749368921.jpg,5. by name Collocations
1749368921.jpg,1) for
1749368921.jpg,2) of
1749368921.jpg,3) for
1749368921.jpg,4) to
1749368921.jpg,5) from
1749368921.jpg,6) of
1749368921.jpg,7) in
1749368921.jpg,8) on Vocabulary learning strategies
1749368921.jpg,1)B
1749368921.jpg,2) A
1749368921.jpg,3)A
1749368921.jpg,4) B
1749368921.jpg,5)B
1749368921.jpg,6)C
1749368921.jpg,7) A
1749368921.jpg,8) A
1749368921.jpg,9) A l. reappear
1749368921.jpg,2. reacted
1749368921.jpg,3. renew
1749368921.jpg,4. reflect
1749368921.jpg,5. restore
1749368921.jpg,6. reconsider Translation
1749368921.jpg,"1)市场上各种创新层出不穷,数字化零售越来越有优势。"
1749368921.jpg,"2)为了驱动创新,数字化零售商花重金在招聘、工资和奖金上 来吸引和留住顶尖技术人才。"
1749368921.jpg,3)顾客梦寐以求的是大量的信息，近乎完美的透明价格以及很 多特价商品。
1749368922.jpg,4)随着越来越多的信息触手可及，政府为用户提供安全的网络 环境变得十分重要。
1749368922.jpg,"1) Convenient and fast, onlineshopping has become part of everyday life for more and more Chinese people."
1749368922.jpg,2) Chinese people are usingmobile payments more and more frequently in their daily lives in both large cities and small
1749368922.jpg,"3) The spread of smartphones, the coverage of wireless network and new digital products are transforming people's lives."
1749368922.jpg,"4) The sales of Double 11 Shopping Festival have been on the rise annually, and the sales of this year are estimated to double last year's amount. iAssess 4-7 Unit test Vocabulary and structure"
1749368922.jpg,1) A
1749368922.jpg,2) A
1749368922.jpg,3)C
1749368922.jpg,4) C
1749368922.jpg,5)D l. potential
1749368922.jpg,2. as long as
1749368922.jpg,3. technical
1749368922.jpg,4. purchase
1749368922.jpg,5. a wealth of Banked cloze
1749368922.jpg,1) A
1749368922.jpg,2) D
1749368922.jpg,3)E
1749368922.jpg,4) F
1749368922.jpg,5) I
1749368922.jpg,6)C
1749368922.jpg,7) G
1749368923.jpg,Reading comprehension
1749368923.jpg,1)C
1749368923.jpg,2) C
1749368923.jpg,3)C
1749368923.jpg,4) D
1749368923.jpg,5)B Translation
1749368923.jpg,1) It is unbelievable that the number of Chinese netizens has reached 770 million by 2017.
1749368923.jpg,2) What the big data has provided will be the upgrade of services and industries.
1749368923.jpg,3) Whether online shopping can replace physical stores has been a hot issue. 1）网上购物的神奇之处就在于你只要轻点鼠标就可以买到各种 商品。
1749368923.jpg,2)无论在网上还是在实体店购物都没有多大区别，因为零售商 在同一商品上价格是相同的。
1749369028.jpg,Unit 5 The art of light and shadow iExplore 1 5-2 iExplore 1: Reading Viewing
1749369028.jpg,1) something sad
1749369028.jpg,2) horrible
1749369028.jpg,3) the opposite
1749369028.jpg,4) sadness
1749369028.jpg,5) heart-breaking
1749369028.jpg,6) so lovely
1749369028.jpg,7) we face
1749369028.jpg,8) so hard
1749369028.jpg,9) say sorry
1749369028.jpg,10) something important
1749369028.jpg,11) used to be
1749369028.jpg,12) stronger
1749369028.jpg,"1) Yes. I often cry when watching movies, moved into tears by the touching stories."
1749369028.jpg,"2) Sometimes I cry because of the sad stories, for example, a mother desperately trying every means to save her sick child, a couple parted although they still love each other; sometimes I cry for the happiness shown in the movies, for example, the reunion of a long- lost family, the success achieved after numerous setbacks. 5-3 iExplore 1: Building your language Words and expressions"
1749369028.jpg,1) A
1749369028.jpg,2) C
1749369028.jpg,3)B
1749369028.jpg,4) A
1749369028.jpg,5)B
1749369028.jpg,6) A
1749369028.jpg,1. try out
1749369028.jpg,2. growing apart
1749369028.jpg,3. run away from
1749369029.jpg,4. fall into place
1749369029.jpg,5. figure out
1749369029.jpg,6. out of control
1749369029.jpg,7. passed over
1749369029.jpg,8. was obsessed with Collocations
1749369029.jpg,1. claimed
1749369029.jpg,2. established
1749369029.jpg,3. release
1749369029.jpg,4. abandoning
1749369029.jpg,5. join
1749369029.jpg,6. defeats
1749369029.jpg,7. dim
1749369029.jpg,8. embrace
1749369029.jpg,1. source material
1749369029.jpg,2. creates tension
1749369029.jpg,3. supporting character
1749369029.jpg,"4. teaching material,teaching materials"
1749369029.jpg,5. gain strength
1749369029.jpg,"6. chief character,leading character Vocabulary learning strategies"
1749369029.jpg,1. bloody
1749369029.jpg,2. muddy
1749369029.jpg,3. worthy
1749369029.jpg,4. moody
1749369029.jpg,5. noisy
1749369029.jpg,6. stormy
1749369029.jpg,7. tricky Language focus
1749369029.jpg,1) Can the audience have their seats changed online by themselves?
1749369029.jpg,2) They are going to have the soundtrack written by the famous musician.
1749369029.jpg,3) We must have the scripts finished by the end of this month.
1749369029.jpg,4) We had the camera mended just now.
1749369030.jpg,5) The theater had its equipment updated so as to provide better service for the audience. Banked cloze
1749369030.jpg,1) released
1749369030.jpg,2) directed
1749369030.jpg,3) successful
1749369030.jpg,4) beginning
1749369030.jpg,5) core
1749369030.jpg,6) ending
1749369030.jpg,7) solved iExplore 2 5-4 iExplore 2: Reading Viewing
1749369030.jpg,1) character
1749369030.jpg,2) amount of effort
1749369030.jpg,3)uniquely Chinese
1749369030.jpg,4) wins
1749369030.jpg,5) love to see
1749369030.jpg,6) Chinese dialogue
1749369030.jpg,7) talents
1749369030.jpg,"1) Actually, China's movie industry can learn a lot from the success of Kung Fu Panda 3. Just to name a few: We need to respect and take great pride in our own culture, looking for moving stories from our own cultural legacy. International cooperation helps to make a movie successful Audience's preferences and interests should be carefully studied. A successful movie offers what the audience would love to see. Authenticity is a keyword that we should bear in mind. We need to try our best to provide the audience with a sense of authenticity when they watch a movie in the theater. The dialogue, costume, landscape everything in the movie needs to be scrupulously designed 5-5 iExplore 2: Building your language"
1749369031.jpg,Words and expressions
1749369031.jpg,1. booming
1749369031.jpg,2. negotiated
1749369031.jpg,3. thrilled
1749369031.jpg,4. grossed
1749369031.jpg,5. mystery
1749369031.jpg,6. surpasses
1749369031.jpg,7. cooperated
1749369031.jpg,1. by far
1749369031.jpg,2. play by their rules
1749369031.jpg,3. make for
1749369031.jpg,4. shows up
1749369031.jpg,5. for a time Collocations
1749369031.jpg,"1. leading,foreign"
1749369031.jpg,"2. small,bigger,better"
1749369031.jpg,"3.younger,interesting"
1749369031.jpg,"4. booming,movie"
1749369031.jpg,5. sci-fi
1749369031.jpg,"6. action,high-grossing,highest-grossing"
1749369031.jpg,1. booming market
1749369031.jpg,"2. chief role,leading role,major role"
1749369031.jpg,3. simple plot
1749369031.jpg,4. action movie
1749369031.jpg,5. everyday situations
